id,ScrapperOrder,Link,ApartmentName,Address,RentStudio,Rent1BD,Rent2BDS,Rent3BDS,Rent4BDS,Rent5BDS,Images
71,1680719944-2840,https://www.zillow.com/b/via-seaport-residences-boston-ma-B9yCh2/,VIA Seaport Residences ," 5 Fan Pier Blvd, Boston, MA","2,807","3,424","5,298","7,900",0,0,"https://photos.zillowstatic.com/fp/daac2e7167acbee60089910ceb9028b6-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8736f06b964caaee24a85e584b438e7b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/fc9f76a7a98529f7cc12ba52a1537dd7-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/4a5effaa7275fa98732be35bf845f81e-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/6cf25a378cc12c69fbb0d047d90d8867-cc_ft_960.jpg"
72,1680719947-2845,https://www.zillow.com/b/amli-ponce-park-atlanta-ga-BT4f5L/,AMLI Ponce Park ," 641 N Ave Ne, Atlanta, GA",0,"1,832","2,789",0,0,0,"https://photos.zillowstatic.com/fp/c3b2e6e494a7e3663f0ebeb82191c9e9-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/e492837afd5602cd56fd88f652d47a29-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/f84b1aea70ed4b7d08ba4f171b96643d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/127771736b16eebcd2a4edea4aac8b2d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8f0ef42796c4293f51e69a6dbe245819-cc_ft_960.jpg"
73,1680719950-2850,https://www.zillow.com/b/avenir-boston-ma-5Xj8dL/,Avenir ," 101 Canal St, Boston, MA","2,820","3,640","4,205",0,0,0,"https://photos.zillowstatic.com/fp/82ec975559f5f3f948ff205b43b319cf-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ac57cebbbfaec2cc79e38317e83ac4a4-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/e2265043f87bf2afbb82819b0ca278f4-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/85baf50b2a845ef98742fced5e7550db-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/904e6aa2d667387e7af7151016780dc4-cc_ft_960.jpg"
74,1680719954-2855,https://www.zillow.com/b/the-yards-at-3-crossings-pittsburgh-pa-CHYS7Y/,The Yards at 3 Crossings ," 2645 Railroad St E, Pittsburgh, PA","1,450","2,207","3,164",0,0,0,"https://photos.zillowstatic.com/fp/2e696c91238d5c3568e1c9451d613ab7-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/0f9020e3d49d6b8e342d1353c6430a4c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/73f39fdd8c5bbc790e5067bd95d43ca8-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ee4f658b1620488a14dab612df00f0ad-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/a5ef268e14e3b7231fe95d2c8fcd1aaf-cc_ft_960.jpg"
75,1680719956-2860,https://www.zillow.com/b/studio2zero-atlanta-ga-5jFcrk/,Studio2Zero ," 20 Standish Ave NW, Atlanta, GA","1,395",0,0,0,0,0,"https://photos.zillowstatic.com/fp/0d220d0eea7784730c0a4a40dd4e47da-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/9146d0c97ef64177adf68d008bbcefc8-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/34c188f1e18d4eda5de1430b1e9f3b54-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/61a3e5c93c4f5936a454f7f383bb45db-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/f6719c4fa0f8996e48fb33eb8fa22937-cc_ft_960.jpg"
76,1680719960-2865,https://www.zillow.com/b/rt-dairies-atlanta-ga-C96KyK/,RT Dairies ," 777100 Memorial Dr SE, Atlanta, GA","1,467","1,770","2,227",0,0,0,"https://photos.zillowstatic.com/fp/8e87c31bff6510f179eeeafefeb7e49f-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/80117d3725847fd4abc3936eb9b16d53-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/507b43aaf68c9f4106a717f06c1dc44c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/83ef6f0b10ec1ce5170d14ecbfc5e631-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/488280914e78edba6ba845349dd4c76f-cc_ft_960.jpg"
77,1680719962-2870,https://www.zillow.com/b/apartments-at-river-view-pittsburgh-pa-5XsV6P/,Apartments at River View ," 300 Liberty Ave, Pittsburgh, PA",0,"1,499","3,749",0,0,0,"https://photos.zillowstatic.com/fp/168016f04180fd73aa09c280cffbaef9-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/90ee08dc22e4a79dae7e5351a11a4abb-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c977569723d235151ff80b707e4e295a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/a7b2db8b9da44484e8fd8a1de9590c1b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/33410dd5a7afbcd153d4d75b4c192abe-cc_ft_960.jpg"
78,1680719965-2875,https://www.zillow.com/b/the-bon-boston-ma-5XxWqh/,The Bon ," 1260 Boylston St, Boston, MA","3,150","4,445","5,695",0,0,0,"https://photos.zillowstatic.com/fp/c14e99edce2325798a3c02bd945ac137-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/b0209ec1dda482bc5766f4a30d196e4f-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8e7c2847dba1534bdf28bc311a6fc720-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c14e99edce2325798a3c02bd945ac137-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/dde46f0bd28f0ebdb852487506f1844d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/35e9baf3442f67d789fc054867acfbe2-cc_ft_960.jpg"
79,1680719968-2881,https://www.zillow.com/b/millworks-apartments-atlanta-ga-9Pvfw7/,Millworks Apartments ," 1888 Emery St NW, Atlanta, GA","1,555","1,615","2,105","3,090",0,0,"https://photos.zillowstatic.com/fp/62a7891200bcc1e0aa4ee47d87b24552-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/112e9a163f21b49ed005517329445d67-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8212461e7af13b1be1bcd97aa6afb72c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/70496e12a79f646f1b23a33ad48ead30-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/98ac3c4c76eb5d13a2202f256a0b625d-cc_ft_960.jpg"
80,1680719971-2886,https://www.zillow.com/b/gibson-by-radius-atlanta-ga-9PvZf6/,Gibson by Radius ," 982 Memorial Dr SE, Atlanta, GA","1,485","1,575","2,025",0,0,0,"https://photos.zillowstatic.com/fp/526fb83b76cb2354b625dff2a2cf1c8f-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ad42b1c45a0b3aace696c7b5a3ae4a6c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8dedaacfa2066e8a3a46a2b915ffb369-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/586509bc8a5acdf4bd30df06a2e1bee5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/8163cf9d125b1a959629b447cf2221ac-cc_ft_960.jpg"
81,1680719974-2891,https://www.zillow.com/b/connection-at-south-side-pittsburgh-pa-BXD49d/,Connection at South Side ," 2984 Sidney St, Pittsburgh, PA","1,610","1,620","2,070",0,0,0,"https://photos.zillowstatic.com/fp/281bff12b3c5f13fc6706d6d91c1a56f-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/1df9dc51b2ca59256ddb008f5e3295a6-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/4a0bace226ab1ba11fb7b4c809a9658e-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/f14f53cef398f5daf903d03056030561-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/d79b02b3c18cd3b72cf3a9ebf70b7b55-cc_ft_960.jpg"
82,1680719977-2896,https://www.zillow.com/b/hot-metal-flats-pittsburgh-pa-98N7cF/,Hot Metal Flats ," 2915 Sidney St, Pittsburgh, PA","1,380","1,620","2,205",0,0,0,"https://photos.zillowstatic.com/fp/064e306e398b82de5a308e68e7a48dee-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/7b234979ab90ece3f7278e4ec18c76fc-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/1f431575b26dedee35bf11bddfce0550-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/0b0220c735ce6ae5a8cee16d6e0f1604-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/4c6442e989d01ff71de13a43bb22e092-cc_ft_960.jpg"
83,1680719980-2901,https://www.zillow.com/b/bear-run-village-pittsburgh-pa-5Xt4Pg/,Bear Run Village ," 100 Bear Run Dr, Pittsburgh, PA",0,"1,345","1,557","1,963",0,0,"https://photos.zillowstatic.com/fp/56827dc9564041ed9fdeacb2c03e622a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3c81029574fba83e7960be6761bb5e69-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/bc24034790c8380e329fa0a29f8bab8d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/01ffac7051fb63d7ca2dc6919dc0c338-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/2d7dfd7ad10db7b6bc1feaf5ad6e6965-cc_ft_960.jpg"
84,1680719983-2906,https://www.zillow.com/b/rockingham-glen-west-roxbury-ma-5XjW9P/,Rockingham Glen ," 30 Rockingham Ave, West Roxbury, MA",0,"2,625","2,640",0,0,0,"https://photos.zillowstatic.com/fp/382766abaacd7ce80f2b9081a9cf2dd0-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/5d5f4ed767320e0e38beaa3e41fd52b1-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/e9a0bb7ffd93941fc513541a037c0a0b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ce14ccf976e11d7a4aad6ab013170393-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/d991e2b100d4b00253c72b6b6ecae6b5-cc_ft_960.jpg"
85,1680719986-2911,https://www.zillow.com/b/encore-apartments-pittsburgh-pa-5Xj9Qq/,Encore Apartments ," 100 7th St, Pittsburgh, PA",0,"2,320","2,620",0,0,0,"https://photos.zillowstatic.com/fp/83637e2801ff25d9b47e6d42b3a9c4af-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/7f17ba1eea6124ffea2ffb341b06fd8c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/bbc4b779f4fffaa113e1eb224bcde733-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/cb6d6e36584c50dd387641a0d8e7a8c2-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/09ab2c784ff2e8552caa61e1ca22e8f6-cc_ft_960.jpg"
86,1680719988-2916,https://www.zillow.com/b/lot-24-pittsburgh-pa-5XrMrH/,Lot 24 ," 2404 Railroad St, Pittsburgh, PA",0,"1,875",0,0,0,0,"https://photos.zillowstatic.com/fp/041e7cfa87b7033b9b290eae51690ddb-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3db31e9a13bd18edaa2d1dd99b931a20-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3738b38a1cd28e2c6b868672cbf507af-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/4533c64ece1edd1c45121fde38d9f009-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ec27bc10e57bfc9683a64f5e19018c86-cc_ft_960.jpg"
87,1680719991-2921,https://www.zillow.com/b/mezzo-design-lofts-charlestown-ma-5Xj6cQ/,Mezzo Design Lofts ," 30 Caldwell St, Charlestown, MA","2,596","2,955","4,120",0,0,0,"https://photos.zillowstatic.com/fp/a93dd53f0ba7bc46bb2cc2203b96eacd-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ee4ef96508a364b01b1839fd7b5ae058-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/eb0e63f656c61d7198aa4b0dc9afc90e-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/93aaa820de9f8f67867eb7a7b243f2ca-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3b70fc6a5923c73339efc7b57e3e27a9-cc_ft_960.jpg"
88,1680719993-2926,https://www.zillow.com/b/the-alyx-at-echelonseaport-boston-ma-BfvBzp/,The Alyx at EchelonSeaport ," 131 Seaport Blvd, Boston, MA","3,597","4,266","6,500","6,696",0,0,"https://photos.zillowstatic.com/fp/f1f7db99608c3b768e739f40c424b08e-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/872bc362fb7babcdfb8a1c9e5d2d809a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ca091aca4680af1d772d3bc44a498e6d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/433d6de30b48297a30dd6dc46cfc176b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/75c35f9367b05d6bfcaae6d9f7592c18-cc_ft_960.jpg"
